2109,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3293,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2994,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2679,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2688,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2372,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2179,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2998,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1862,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
889,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2110,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3294,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2995,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2680,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2689,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2373,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2180,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2999,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1863,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
890,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2111,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3295,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2996,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2681,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2690,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2374,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2181,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3000,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1864,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
891,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2112,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3296,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2997,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2682,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2691,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2375,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2182,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3001,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1865,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
1981,413,活禽定点零售交易点信息包括各区县活禽定点零售交易点名称、地址、服务时间、联系电话等信息。,社区周边生活服务,活禽定点零售交易点,民生服务,国内贸易,业务类,普遍公开,不定期,2015-10-28,上海市商务委员会
4043,945,再生资源回收经营企业信息数据产品主要发布了上海市再生资源回收经营企业名称、所属区县、经营地址、联系人、联系电话等信息。,政府办事,再生资源.经营企业,资源环境,国内贸易,业务类,普遍公开,每年,2015-10-28,2018-01-31,上海市商务委员会
4016,717,上海主要国际展览会信息数据产品主要发布了上海市主要国际展览会名称、计划办展时间、展览场地等信息。,政府办事,国际展览会,经济建设,综合类,其他类,普遍公开,每半年,2015-01-05,上海市商务委员会
4579,1590,再生资源回收网点备案信息数据产品主要发布了上海市再生资源回收网点名称、所属区县、经营地址、联系人、联系电话等信息。,政府办事,再生资源.回收网点,资源环境,国内贸易,业务类,普遍公开,每季度,2015-01-05,2018-01-31,上海市商务委员会
2889,542,单用途商业预付卡备案企业信息主要包括单用途商业预付卡备案企业名称、备案号、所属行业、电话、地址等信息,政府办事,单用途商业预付卡,经济建设,国内贸易,业务类,普遍公开,每年,2015-10-28,上海市商务委员会
295,77,上海市中小商贸流通企业公共服务机构信息发布了公共服务机构编码、服务类型、服务机构全称等信息。,政府办事,中小商贸流通企业,经济建设,商贸综合类,业务类,普遍公开,每季度,2017-10-30,2018-01-31,上海市商务委员会
162,25,主要年份能源消费总量。,政府办事,上海市，主要年份，能源消费总量,经济建设,统计,其他类,普遍公开,每年,2017-11-06,上海市统计局
2106,109,1978年以来上海市能源消费弹性系数,政府办事,1978年以来.能源消费弹性系数,经济建设,统计,业务类,普遍公开,每年,2017-11-22,2018-01-30,上海市统计局
7398,1182,上海市市级以上河流水质状况，评价方法采用《地表水环境质量评价办法（试行）》（环办[2011]22号）进行单因子评价。,政府办事,地表水，水质评价,资源环境,环境污染、监测,业务类,普遍公开,每月,2015-07-23,上海市环境保护局
7722,2223,本市日最高用电负荷、最高可用电力、预计电力供需平衡情况等预测信息,政府办事、社区周边生活服务,日期.星期.天气.气温.预计最高负荷.最高可用出力.电力供需平衡,资源环境,电力,业务类,普遍公开,每周,2014-11-07,2018-01-29,上海市经济和信息化委员会
